,Country,Happiness Rank
157,Togo,158
156,Burundi,157
155,Syria,156
154,Benin,155
153,Rwanda,154
152,Afghanistan,153
151,Burkina Faso,152
150,Ivory Coast,151
149,Guinea,150
148,Chad,149
147,Central African Republic,148
146,Madagascar,147
145,Tanzania,146
144,Cambodia,145
143,Niger,144
142,Gabon,143
141,Senegal,142
140,Uganda,141
139,Comoros,140
138,Congo (Brazzaville),139
137,Mali,138
136,Angola,137
135,Yemen,136
134,Egypt,135
133,Bulgaria,134
132,Cameroon,133
131,Sri Lanka,132
130,Malawi,131
129,Georgia,130
128,Myanmar,129
127,Botswana,128
126,Armenia,127
125,Djibouti,126
124,Kenya,125
123,Mauritania,124
122,Sierra Leone,123
121,Ethiopia,122
120,Nepal,121
119,Congo (Kinshasa),120
118,Haiti,119
117,Sudan,118
116,India,117
115,Liberia,116
114,Zimbabwe,115
113,Ghana,114
112,South Africa,113
111,Iraq,112
110,Ukraine,111
109,Iran,110
108,Bangladesh,109
107,Palestinian Territories,108
106,Tunisia,107
105,Tajikistan,106
104,Honduras,105
103,Hungary,104
102,Lebanon,103
101,Greece,102
100,Swaziland,101
99,Mongolia,100
98,Laos,99
97,Dominican Republic,98
96,Lesotho,97
95,Bosnia and Herzegovina,96
94,Albania,95
93,Mozambique,94
92,Macedonia,93
91,Morocco,92
90,Somaliland region,91
89,Philippines,90
88,Latvia,89
87,Portugal,88
86,Serbia,87
85,Romania,86
84,Zambia,85
83,China,84
81,Jordan,82
82,Montenegro,82
80,Pakistan,81
79,Azerbaijan,80
78,Bhutan,79
77,Nigeria,78
76,Kyrgyzstan,77
75,Turkey,76
74,Vietnam,75
73,Indonesia,74
72,Estonia,73
71,Hong Kong,72
70,Mauritius,71
69,Turkmenistan,70
68,Kosovo,69
67,Algeria,68
66,Cyprus,67
65,North Cyprus,66
64,Jamaica,65
63,Russia,64
62,Libya,63
61,Croatia,62
60,Malaysia,61
59,Poland,60
58,Belarus,59
57,Peru,58
56,Nicaragua,57
55,Lithuania,56
54,Slovenia,55
53,Kazakhstan,54
52,Paraguay,53
51,Moldova,52
50,Bolivia,51
49,Italy,50
48,Bahrain,49
47,Ecuador,48
46,South Korea,47
45,Japan,46
44,Slovakia,45
43,Uzbekistan,44
42,Guatemala,43
41,El Salvador,42
40,Trinidad and Tobago,41
39,Suriname,40
38,Kuwait,39
37,Taiwan,38
36,Malta,37
35,Spain,36
34,Saudi Arabia,35
33,Thailand,34
32,Colombia,33
31,Uruguay,32
30,Czech Republic,31
29,Argentina,30
28,France,29
27,Qatar,28
26,Chile,27
25,Germany,26
24,Panama,25
23,Singapore,24
22,Venezuela,23
21,Oman,22
20,United Kingdom,21
19,United Arab Emirates,20
18,Belgium,19
17,Ireland,18
16,Luxembourg,17
15,Brazil,16
14,United States,15
13,Mexico,14
12,Austria,13
11,Costa Rica,12
10,Israel,11
9,Australia,10
8,New Zealand,9
7,Sweden,8
6,Netherlands,7
5,Finland,6
4,Canada,5
3,Norway,4
2,Denmark,3
1,Iceland,2
0,Switzerland,1
